t,score,shape,power_db,rssi,state
28.734,-0.229,0.634,0.017,-56.9,0
28.874,-0.256,0.615,0.079,-57.0,0
29.010,-0.345,0.578,0.018,-57.0,0
29.141,-0.385,0.590,-0.001,-57.0,0
29.278,-0.335,0.614,-0.115,-56.9,0
29.407,-0.321,0.613,-0.102,-56.9,0
29.547,-0.357,0.582,-0.084,-56.8,0
29.700,-0.451,0.525,-0.052,-56.5,0
29.824,-0.360,0.526,-0.189,-56.4,0
29.976,-0.300,0.483,-0.213,-56.1,0
30.100,-0.438,0.379,-0.154,-55.8,0
30.245,-0.644,0.291,-0.112,-55.6,0
30.390,-0.842,0.240,-0.083,-55.6,0
30.586,-1.038,0.209,-0.033,-55.5,0
30.726,-1.112,0.177,0.077,-55.5,0
30.871,-1.036,0.211,0.124,-55.7,0
31.020,-1.042,0.242,0.089,-55.8,0
31.142,-0.976,0.331,0.087,-55.8,0
31.305,-0.964,0.366,-0.004,-56.0,0
31.425,-0.944,0.379,0.011,-56.0,0
31.558,-0.946,0.357,0.035,-56.0,0
31.685,-0.976,0.331,0.030,-56.0,0
31.828,-0.793,0.338,0.165,-56.0,0
31.985,-0.186,0.533,0.342,-56.2,0
32.145,0.239,0.577,0.370,-56.1,0
32.273,0.274,0.499,0.302,-56.2,0
32.408,0.031,0.421,0.202,-56.2,0
32.548,0.078,0.480,0.269,-56.2,0
32.671,-0.312,0.358,0.098,-56.2,0
32.798,-0.441,0.299,-0.181,-56.1,0
32.970,-0.845,0.171,-0.044,-56.1,0
33.105,-0.992,0.173,-0.089,-56.1,0
33.267,-1.181,0.146,-0.035,-56.1,0
33.402,-1.161,0.264,0.040,-56.1,0
33.583,-1.133,0.293,-0.033,-56.1,0
33.711,-1.126,0.293,-0.006,-56.1,0
33.837,-1.120,0.289,-0.027,-56.0,0
33.960,-0.969,0.376,0.088,-55.9,0
34.110,-0.889,0.376,0.084,-56.0,0
34.233,-0.931,0.331,0.043,-56.0,0
34.382,-0.843,0.348,0.115,-56.1,0
34.529,-0.770,0.347,0.130,-56.1,0
34.669,-0.643,0.382,0.164,-56.2,0
34.802,-0.772,0.288,0.093,-56.3,0
34.947,-0.916,0.287,0.039,-56.4,0
35.097,-0.261,0.605,0.323,-56.5,0
35.225,-0.060,0.527,0.275,-56.4,0
35.348,-0.314,0.438,0.110,-56.4,0
35.491,-0.405,0.442,0.142,-56.3,0
35.639,-0.511,0.451,0.096,-56.3,0
35.759,-0.446,0.517,0.146,-56.0,0
35.907,-0.455,0.397,-0.168,-55.8,0
36.037,-0.146,0.491,-0.305,-55.7,0
36.181,-0.343,0.341,-0.163,-55.5,0
36.388,0.141,0.553,-0.406,-55.2,0
36.511,0.100,0.427,-0.286,-55.1,0
36.658,0.398,0.542,-0.417,-55.1,0
36.778,0.572,0.545,-0.422,-55.3,0
36.908,0.323,0.406,-0.286,-55.5,0
37.049,0.282,0.434,-0.327,-55.7,0
37.170,-0.113,0.286,-0.181,-55.7,0
37.295,-0.449,0.264,-0.127,-55.8,0
37.439,-0.732,0.277,-0.058,-55.6,0
